#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-21T02:42:53 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-21T02:42:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/PASP/122/1397/s4g&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_61221397
#Name: J/PASP/122/1397
#Title: Spitzer Survey of Stellar Structure in Galaxies (Sheth+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/pasp/122/1397	    IVOID of underlying data collection
#INFO	creator=Sheth K.	    First author or institution
#INFO	cites=bibcode:2010PASP..122.1397S	    Article or Data origin sources
#INFO	journal=PASP	    Journal name
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PASP/122/1397	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.61221397	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-09-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PASP_122_1397_s4g:
#Name: J/PASP/122/1397/s4g
#Title: S^4^G catalog Version 2 (2013-09)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	A	(A1)	Simbad column added by the CDS	[ucd=meta.note]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	amaj	(F5.1)	? Semi-major axis at level {mu}(3.6um)=25.5mag(AB)/arcsec^2^	[ucd=phys.angSize.smajAxis]
#Column	PA	(F6.1)	[-160/90]? Position angle of major axis	[ucd=pos.posAng]
#Column	ell	(F6.3)	[0/1]? Ellipticity (1-b/a)	[ucd=src.ellipticity]
#Column	[3.6]	(F6.3)	? Spitzer/IRAC 3.6um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_[3.6]	(F6.3)	? Mean error on [3.6]	[ucd=stat.error]
#Column	[4.5]	(F6.3)	? Spitzer/IRAC 4.5um asymptotic magnitude (AB)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_[4.5]	(F6.3)	? Growth-curve fitting error in [4.5]	[ucd=stat.error]
#Column	c31	(F6.3)	[1/]? r(75%)/r(25%) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	c42	(F6.3)	? 5*log10(r(80%)/r(20%)) concentration index at 3.6um	[ucd=meta.code;spect.index;em.IR.3-4um]
#Column	M3.6	(F7.3)	? Absolute magnitude at 3.6um	[ucd=phys.magAbs;em.IR.3-4um]
#Column	M4.5	(F7.3)	? Absolute magnitude at 4.5um	[ucd=phys.magAbs;em.IR.4-8um]
#Column	logM*	(F6.3)	? Stellar mass	[ucd=phys.mass]
#Column	Dmean	(F7.3)	? Mean redshift-independent distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dmean	(F6.3)	? Standard deviation of Dmean	[ucd=stat.error]
#Column	TT	(F4.1)	? Morphological type code	[ucd=meta.code;src.morph.type]
#Column	e_TT	(F4.1)	? Error on TT	[ucd=stat.error]
#Column	Vr	(F7.1)	? Heliocentric radial velocity from radio measurement	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Mean error on Vr	[ucd=stat.error]
#Column	S4G	(A3)	See the NASA/IPAC details for this galaxy	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	A	Name	RAJ2000	DEJ2000	amaj	PA	ell	[3.6]	e_[3.6]	[4.5]	e_[4.5]	c31	c42	M3.6	M4.5	logM*	Dmean	e_Dmean	TT	e_TT	Vr	e_Vr	S4G	Simbad	NED	LEDA
    1399	 	NGC3681   	171.62415	+16.86343	 81.3	 -58.6	 0.034	11.634	 0.001	12.105	 0.002	 4.315	 3.982	-20.285	-19.814	10.273	 24.200	      	 4.0	 0.2	 1240.3	 4.5	S4G	Simbad	NED	LEDA
    1400	 	NGC3682   	171.92163	+66.58983	 89.8	 -86.3	 0.328	11.713	 0.001	12.118	 0.002	 5.430	 4.636	-20.300	-19.895	10.230	       	      	-0.1	 0.4	 1509.0	 8.8	S4G	Simbad	NED	LEDA
    1401	 	NGC3683   	171.88247	+56.87688	 70.1	 -53.6	 0.240	10.916	 0.001	11.281	 0.001	 3.199	 3.115	-21.690	-21.325	10.756	 33.211	 5.161	 5.0	 0.4	 1706.2	 5.5	S4G	Simbad	NED	LEDA
    1402	 	NGC3683A  	172.29902	+57.13233	 72.6	  64.9	 0.316	12.244	 0.001	12.694	 0.001	 2.707	 2.726	-20.810	-20.360	10.467	 40.814	 2.147	 5.1	 0.5	 2428.3	 3.7	S4G	Simbad	NED	LEDA
    1403	 	NGC3684   	171.79667	+17.03022	101.2	 -62.2	 0.341	11.749	 0.001	12.177	 0.001	 3.242	 3.205	-20.135	-19.707	10.181	 23.814	 1.669	 4.0	 0.3	 1159.9	 3.7	S4G	Simbad	NED	LEDA
    1404	 	NGC3686   	171.93324	+17.22411	109.0	  18.5	 0.202	11.016	 0.001	11.449	 0.001	 2.625	 2.704	-20.333	-19.900	10.264	 18.612	 4.294	 4.1	 0.4	 1157.0	 3.4	S4G	Simbad	NED	LEDA
    1405	 	NGC3687   	172.00251	+29.51110	 61.6	 -55.8	 0.098	12.335	 0.001	12.805	 0.001	 3.743	 3.749	-19.839	-19.369	10.094	 27.220	 7.322	 3.8	 0.7	 2503.7	 4.7	S4G	Simbad	NED	LEDA
    1406	 	NGC3689   	172.04593	+25.66111	 67.1	  87.9	 0.368	11.730	 0.001	12.162	 0.001	 3.072	 3.030	-21.361	-20.929	10.674	 41.511	 8.160	 5.3	 0.5	 2738.6	 4.5	S4G	Simbad	NED	LEDA
    1407	 	UGC06526  	173.16370	+35.32831	 64.8	  89.7	 0.731	13.574	 0.002	13.961	 0.001	 3.077	 3.074	-18.692	-18.305	 9.573	       	      	 7.0	 1.4	 1907.0	 7.9	S4G	Simbad	NED	LEDA
    1408	 	UGC06534  	173.33219	+63.27909	 90.1	  58.0	 0.723	13.605	 0.002	14.003	 0.012	 2.660	 2.686	-17.947	-17.549	 9.283	 20.433	 2.237	 6.4	 0.8	 1272.8	 4.3	S4G	Simbad	NED	LEDA
    1409	 	UGC06545  	173.43367	+32.63377	 45.8	 -45.4	 0.451	13.258	 0.001	13.623	 0.001	 4.785	 4.018	-21.577	-21.211	10.711	       	      	 3.5	 1.3	       	    	S4G	Simbad	NED	LEDA
    1410	 	UGC06570  	173.95825	+35.33526	 47.6	 -57.0	 0.513	13.236	 0.001	13.652	 0.001	 4.304	 4.008	-18.762	-18.347	 9.622	       	      	-0.2	 0.7	 1603.0	11.5	S4G	Simbad	NED	LEDA
    1411	 	UGC06575  	174.11025	+58.19092	 57.0	  -6.7	 0.680	14.123	 0.002	14.554	 0.001	 2.935	 2.873	-18.664	-18.234	 9.594	 36.100	 1.609	 5.8	 0.5	 1215.8	 5.0	S4G	Simbad	NED	LEDA
    1412	 	UGC06594  	174.40434	+16.55637	 72.8	 -48.1	 0.773	14.401	 0.006	14.820	 0.005	 2.904	 2.962	-16.986	-16.567	 8.914	 18.940	 1.346	 6.4	 0.8	 1042.2	 4.5	S4G	Simbad	NED	LEDA
    1413	 	UGC06603  	174.50864	+35.20345	 79.8	  77.9	 0.794	14.364	 0.004	14.783	 0.002	 2.940	 2.947	-17.582	-17.163	 9.153	 24.500	 2.687	 5.9	 0.5	 1631.2	 4.9	S4G	Simbad	NED	LEDA
    1414	 	UGC06610  	174.68337	+33.80464	 63.7	  12.3	 0.742	14.292	 0.001	14.727	 0.002	 2.657	 2.699	-18.508	-18.072	 9.536	 36.300	 1.131	 5.9	 0.5	 1851.8	 3.9	S4G	Simbad	NED	LEDA
    1415	 	UGC06628  	175.02492	+45.94317	 88.8	 -51.9	 0.070	13.307	 0.001	13.684	 0.003	 2.535	 2.502	-17.845	-17.468	 9.227	 17.000	      	 8.8	 1.0	  849.6	 4.3	S4G	Simbad	NED	LEDA
    1416	 	UGC06667  	175.60879	+51.59786	110.5	  87.3	 0.805	13.571	 0.003	14.049	 0.017	 2.959	 2.944	-17.865	-17.387	 9.309	 19.373	 2.624	 5.9	 0.5	  974.6	 4.6	S4G	Simbad	NED	LEDA
    1417	 	UGC06670  	175.62268	+18.33256	 81.3	 -25.2	 0.690	13.549	 0.059	13.953	 0.001	 3.092	 3.045	-17.629	-17.225	 9.161	 17.200	      	 9.9	 0.4	  921.4	 6.3	S4G	Simbad	NED	LEDA
    1418	 	UGC06682  	175.78785	+59.10580	 48.4	-157.2	 0.061	14.629	 0.064	15.055	 0.008	 2.712	 2.731	-17.254	-16.828	 9.027	 23.800	      	 8.7	 0.8	 1325.5	 3.5	S4G	Simbad	NED	LEDA
    1419	 	UGC06713  	176.10389	+48.83563	 47.5	 -84.5	 0.242	14.692	 0.007	15.184	 0.001	 2.512	 2.537	-16.460	-15.968	 8.758	 17.000	      	 8.6	 0.9	  899.3	 5.8	S4G	Simbad	NED	LEDA
    1420	 	UGC06747  	176.60010	+13.82755	 34.6	  69.8	 0.821	16.728	 0.004	17.138	 0.003	 2.544	 2.456	-15.388	-14.978	 8.269	 26.500	 0.200	 9.7	 0.8	 2695.3	 4.9	S4G	Simbad	NED	LEDA
    1421	 	UGC06773  	177.00221	+49.80897	 49.0	 -23.7	 0.572	14.708	 0.004	15.276	 0.006	 2.562	 2.520	-16.069	-15.500	 8.658	 14.300	      	 9.9	 0.4	  923.6	 5.3	S4G	Simbad	NED	LEDA
    1422	 	UGC06774  	177.04717	+54.99191	 49.5	 -25.8	 0.730	14.870	 0.008	15.375	 0.001	 5.598	 4.568	-18.319	-17.814	 9.511	 43.433	 0.115	 5.9	 0.5	 2385.0	 6.0	S4G	Simbad	NED	LEDA
    1423	 	UGC06780  	177.20997	-02.03225	110.4	  16.8	 0.762	14.283	 0.006	14.655	 0.001	 3.855	 3.727	-18.641	-18.270	 9.541	 38.450	 8.353	 6.4	 1.1	 1727.6	 3.9	S4G	Simbad	NED	LEDA
    1424	 	UGC06782  	177.23910	+23.83766	 47.4	 -87.5	 0.378	15.216	 0.036	15.777	 0.004	 2.790	 2.711	-14.638	-14.077	 8.080	  9.350	 6.152	 9.8	 1.0	  524.0	 3.2	S4G	Simbad	NED	LEDA
    1425	 	UGC06791  	177.34883	+26.74149	 60.9	   0.4	 0.763	13.963	 0.003	14.386	 0.003	 2.825	 2.823	-18.773	-18.349	 9.633	 35.250	 1.031	 6.5	 0.7	 1853.2	 5.1	S4G	Simbad	NED	LEDA
    1426	 	UGC06792  	177.34733	+39.77177	 73.7	  -9.1	 0.784	14.192	 0.001	14.553	 0.002	 2.668	 2.706	-17.191	-16.830	 8.953	 18.900	 4.525	 5.9	 0.5	  848.2	 4.3	S4G	Simbad	NED	LEDA
    1427	 	UGC06816  	177.69795	+56.45540	 53.2	  58.8	 0.223	14.559	 0.003	15.054	 0.013	 2.663	 2.631	-17.153	-16.658	 9.038	 22.000	 7.071	 9.9	 0.4	  888.0	 5.0	S4G	Simbad	NED	LEDA
    1428	 	UGC06817  	177.72072	+38.88057	 78.2	  53.3	 0.440	14.523	 0.021	15.340	 0.017	 2.400	 2.444	-12.805	-11.988	 7.537	  2.922	 0.525	 9.9	 0.4	  243.4	 3.3	S4G	Simbad	NED	LEDA
    1429	 	UGC06818  	177.69560	+45.80708	 58.5	  74.7	 0.559	14.464	 0.003	14.923	 0.002	 2.866	 2.861	-17.217	-16.758	 9.037	 21.689	 4.732	    	    	  825.5	 7.6	S4G	Simbad	NED	LEDA
    1430	 	UGC06840  	178.02996	+52.10813	 72.9	  89.7	 0.579	14.304	 0.006	14.793	 0.019	 3.997	 3.671	-16.848	-16.360	 8.911	 17.000	      	 8.8	 0.5	 1016.8	 6.2	S4G	Simbad	NED	LEDA
    1431	 	UGC06849  	178.16327	+50.03790	 47.4	 -77.0	 0.178	14.658	 0.002	15.107	 0.004	 2.531	 2.511	-16.536	-16.087	 8.757	       	      	 8.8	 0.5	  995.0	 7.6	S4G	Simbad	NED	LEDA
    1432	 	UGC06862  	178.31422	+11.63414	 48.2	 -75.0	 0.884	16.275	 0.017	16.680	 0.002	 2.406	 2.407	-17.426	-17.021	 9.081	 54.983	 5.609	 6.7	 0.8	 2742.0	 5.8	S4G	Simbad	NED	LEDA
    1433	 	UGC06879  	178.60440	-02.31963	 68.7	 -11.3	 0.667	13.531	 0.004	14.017	 0.003	 2.589	 2.652	-19.669	-19.183	10.037	 43.650	 6.010	 7.1	 1.1	 2386.1	 5.6	S4G	Simbad	NED	LEDA
    1434	 	UGC06894  	178.84818	+54.65748	 56.5	  88.8	 0.770	15.006	 0.014	15.488	 0.024	 2.876	 2.847	-15.923	-15.441	 8.536	       	      	 5.9	 0.5	  767.0	 7.6	S4G	Simbad	NED	LEDA
    1435	 	UGC06900  	178.91319	+31.51922	 61.2	 -70.1	 0.364	14.545	 0.015	15.082	 0.002	 2.617	 2.632	-14.309	-13.772	 7.931	  5.900	      	 9.7	 0.7	  589.8	 4.7	S4G	Simbad	NED	LEDA
    1436	 	UGC06903  	178.90400	+01.23721	 77.6	 -43.7	 0.152	12.960	 0.001	13.438	 0.001	 2.556	 2.640	-19.461	-18.984	 9.948	 30.500	      	 5.9	 0.5	 1891.6	 4.6	S4G	Simbad	NED	LEDA
    1437	 	UGC04426  	127.11834	+41.85641	 50.4	   7.1	 0.445	15.487	 0.011	16.042	 0.009	 2.838	 2.867	-14.069	-13.513	 7.848	  8.150	 2.557	 9.8	 0.5	  395.0	 3.2	S4G	Simbad	NED	LEDA
    1438	 	UGC04483  	129.26163	+69.77592	 33.6	 -16.5	 0.414	15.637	 0.044	16.769	 0.006	 2.814	 2.915	-12.045	-10.914	 7.466	  3.440	 0.192	 9.8	 0.5	  156.5	 2.8	S4G	Simbad	NED	LEDA
    1439	 	UGC04499  	129.42241	+51.65302	 66.4	 -26.6	 0.301	13.915	 0.003	14.321	 0.002	 3.351	 3.249	-16.621	-16.215	 8.758	 12.800	      	 8.0	 0.5	  691.9	 4.0	S4G	Simbad	NED	LEDA
    1440	 	UGC04514  	129.90915	+53.45693	 74.2	  68.3	 0.595	13.858	 0.002	14.279	 0.006	 2.798	 2.826	-17.411	-16.991	 9.086	 17.944	 3.491	 5.9	 0.5	  693.1	 4.0	S4G	Simbad	NED	LEDA
    1441	 	UGC04543  	130.83928	+45.73620	 61.7	   6.2	 0.300	14.479	 0.004	14.892	 0.009	 2.782	 2.795	-17.906	-17.494	 9.278	 30.000	      	 7.9	 0.5	 1959.8	 3.4	S4G	Simbad	NED	LEDA
    1442	 	UGC04549  	131.08945	+58.84197	 52.8	   3.6	 0.184	12.996	 0.004	13.393	 0.002	 2.670	 2.752	-18.638	-18.240	 9.559	       	      	 8.1	 0.5	 1288.2	 5.4	S4G	Simbad	NED	LEDA
    1443	 	UGC04550  	130.81680	+13.08596	 66.8	   4.0	 0.668	13.234	 0.001	13.618	 0.001	 4.185	 3.761	-19.649	-19.265	 9.954	 37.717	 7.856	 3.4	 0.8	 2069.4	 7.0	S4G	Simbad	NED	LEDA
    1444	 	UGC04551  	131.02470	+49.79385	 66.1	 -69.0	 0.603	12.002	 0.001	12.516	 0.001	 4.452	 3.995	-20.141	-19.627	10.247	       	      	-1.9	 0.5	 1721.0	11.5	S4G	Simbad	NED	LEDA
    1445	 	UGC04559  	131.03195	+30.11908	 80.8	  49.9	 0.684	12.544	 0.001	12.952	 0.005	 3.175	 3.222	-20.379	-19.971	10.263	 38.425	 5.553	 2.1	 0.6	 2085.1	 4.6	S4G	Simbad	NED	LEDA
    1446	 	UGC04621  	132.54922	+35.07647	 43.4	 -66.7	 0.341	12.913	 0.001	13.355	 0.003	 4.622	 3.976	-20.239	-19.797	10.233	 42.700	 3.619	 1.0	 1.4	 2306.0	10.3	S4G	Simbad	NED	LEDA
    1447	 	UGC04623  	133.29610	+76.48607	 94.1	  58.5	 0.667	12.348	 0.001	12.795	 0.001	 2.688	 2.702	-20.830	-20.384	10.472	 43.217	 1.769	 5.8	 0.5	 2885.0	 6.1	S4G	Simbad	NED	LEDA
    1448	 	UGC04628  	132.91927	+51.11873	 53.0	  72.5	 0.737	14.987	 0.006	15.419	 0.007	 2.624	 2.614	-16.529	-16.097	 8.742	 20.100	 1.400	 5.8	 0.5	  777.0	 5.5	S4G	Simbad	NED	LEDA
    1449	 	UGC04659  	133.66828	+47.10532	 54.5	 -67.8	 0.658	14.993	 0.004	15.455	 0.001	 2.921	 2.890	-17.185	-16.723	 9.026	       	      	 8.0	 0.5	 1749.9	 4.5	S4G	Simbad	NED	LEDA
    1450	 	UGC04701  	135.50456	+78.27761	 60.9	 -71.1	 0.592	14.650	 0.003	15.057	 0.008	 3.443	 3.300	-17.214	-16.807	 8.997	       	      	 7.0	 0.5	 1407.5	 8.6	S4G	Simbad	NED	LEDA
    1451	 	UGC04704  	134.75123	+39.20998	110.6	 -66.3	 0.816	14.814	 0.020	15.485	 0.009	 2.916	 2.921	-15.381	-14.710	 8.460	 10.940	 1.274	 7.9	 0.8	  596.0	 6.3	S4G	Simbad	NED	LEDA
    1452	 	UGC04714  	135.81334	+78.56322	 44.0	 -80.3	 0.179	13.653	 0.002	14.069	 0.001	 3.052	 2.912	-18.004	-17.588	 9.320	       	      	 3.1	 0.6	 1252.6	 8.5	S4G	Simbad	NED	LEDA
    1453	 	UGC04722  	135.09827	+25.61155	 55.7	  35.2	 0.764	15.491	 0.002	15.916	 0.013	 3.250	 3.197	-16.603	-16.178	 8.766	 26.225	 2.127	 7.9	 0.6	 1793.7	 5.4	S4G	Simbad	NED	LEDA
    1454	 	UGC04725  	135.23026	+31.99313	 36.6	  65.7	 0.820	16.525	 0.023	17.011	 0.005	 2.684	 2.704	-16.419	-15.932	 8.738	 38.783	 5.182	 6.1	 0.6	 1997.0	 7.7	S4G	Simbad	NED	LEDA
    1455	 	UGC04753  	136.14110	+45.29239	 57.4	  32.2	 0.793	14.979	 0.005	15.429	 0.002	 2.913	 2.869	-17.889	-17.438	 9.299	 37.450	 5.636	 6.7	 0.9	 1851.0	 7.6	S4G	Simbad	NED	LEDA
    1456	 	UGC04777  	136.66856	+34.61920	 59.5	 -38.8	 0.739	14.722	 0.008	15.197	 0.003	 2.444	 2.466	-17.907	-17.431	 9.325	 33.550	 1.954	 9.2	 1.7	 2053.1	 5.2	S4G	Simbad	NED	LEDA
    1457	 	UGC04787  	136.89592	+33.27553	 64.0	   8.1	 0.639	14.358	 0.003	14.797	 0.003	 2.701	 2.727	-15.103	-14.663	 8.176	  7.800	      	 7.9	 0.9	  551.8	 7.9	S4G	Simbad	NED	LEDA
    1458	 	UGC04797  	137.04457	+05.92776	 58.5	  -4.1	 0.028	14.271	 0.005	14.584	 0.004	 2.676	 2.715	-17.190	-16.877	 8.917	 19.600	      	 8.8	 0.5	 1307.4	 4.9	S4G	Simbad	NED	LEDA
    1459	 	NGC7814   	000.81202	+16.14534	260.9	 -46.6	 0.509	 9.680	 0.001	10.165	 0.001	 6.149	 4.969	-21.494	-21.009	10.766	 17.171	 3.872	 2.0	 0.2	 1050.2	 4.2	S4G	Simbad	NED	LEDA
    1460	 	NGC7817   	000.99556	+20.75241	112.5	  45.6	 0.649	10.936	 0.001	11.347	 0.001	 2.519	 2.530	-21.083	-20.672	10.547	 25.346	 3.984	 4.1	 0.4	 2309.1	 3.2	S4G	Simbad	NED	LEDA
    1461	 	PGC000143 	000.49260	-15.46093	     	      	      	      	      	      	      	      	      	       	       	      	  1.109	 0.592	 9.9	 0.3	 -127.4	 3.8	S4G	Simbad	NED	LEDA
    1462	 	PGC002492 	010.43941	-16.86076	 52.2	 -24.9	 0.286	14.155	 0.006	14.560	 0.001	 2.973	 2.967	-17.377	-16.972	 9.060	       	      	 2.0	 2.0	 1552.5	 5.8	S4G	Simbad	NED	LEDA
    1463	 	NGC6236   	251.14342	+70.78010	 79.1	   6.4	 0.379	13.158	 0.002	13.536	 0.008	 2.954	 2.920	-18.825	-18.447	 9.620	 24.925	 3.480	 5.9	 0.5	 1280.2	 3.2	S4G	Simbad	NED	LEDA
    1464	 	UGC09240  	216.18207	+44.52679	 65.9	 -72.6	 0.158	13.717	 0.129	14.343	 0.001	 2.770	 3.032	-13.645	-13.019	 7.731	  2.968	 0.361	 9.9	 0.4	  150.3	 2.8	S4G	Simbad	NED	LEDA
    1465	 	UGC09242  	216.33761	+39.53964	152.3	  71.2	 0.907	14.090	 0.002	14.485	 0.002	 3.008	 2.980	-17.113	-16.718	 8.947	 17.400	 5.328	 6.6	 0.7	 1432.5	 7.5	S4G	Simbad	NED	LEDA
    1466	 	UGC09245  	216.36179	+56.32001	 57.1	   6.4	 0.314	14.469	 0.002	14.955	 0.005	 3.476	 3.415	-16.683	-16.197	 8.843	 17.000	 0.849	 6.4	 0.8	 1884.7	 4.4	S4G	Simbad	NED	LEDA
    1467	 	UGC09249  	216.74864	+08.68384	 65.4	  84.9	 0.783	14.902	 0.008	15.273	 0.003	 2.659	 2.704	-16.519	-16.148	 8.691	 19.240	 3.270	 7.2	 0.6	 1365.7	 4.5	S4G	Simbad	NED	LEDA
    1468	 	UGC09274  	217.01156	+21.30391	 60.5	  53.1	 0.366	13.647	 0.004	14.048	 0.029	 2.407	 2.523	-17.681	-17.281	 9.179	       	      	 4.2	 2.5	 1146.0	 5.5	S4G	Simbad	NED	LEDA
    1469	 	UGC09282  	217.17189	+21.34040	 37.4	 -84.6	 0.299	15.487	 0.078	15.945	 0.017	 2.752	 2.740	-15.821	-15.363	 8.477	       	      	 9.8	 0.5	 1132.2	 4.8	S4G	Simbad	NED	LEDA
    1470	 	UGC09291  	217.15395	+38.99914	 62.3	 -79.4	 0.431	13.252	 0.003	13.638	 0.004	 2.621	 2.627	-19.966	-19.580	10.082	 44.025	 8.512	 6.4	 0.8	 2885.7	 5.5	S4G	Simbad	NED	LEDA
    1471	 	UGC09299  	217.39425	-00.01801	 58.3	  77.4	 0.557	14.335	 0.008	14.775	 0.003	 2.934	 2.916	-18.110	-17.670	 9.380	 30.833	 3.877	 6.4	 1.1	 1540.3	 5.5	S4G	Simbad	NED	LEDA
    1472	 	UGC09310  	217.50443	+03.22138	 67.8	  -9.0	 0.663	14.463	 0.004	14.883	 0.002	 3.132	 3.014	-17.937	-17.517	 9.296	 30.200	      	 8.0	 0.5	 1848.4	 5.5	S4G	Simbad	NED	LEDA
    1473	 	UGC09345  	217.93383	+06.15811	 38.8	 -36.5	 0.729	15.469	 0.002	15.868	 0.007	 2.567	 2.588	-18.392	-17.994	 9.462	 59.200	 0.265	 6.4	 0.7	 2340.0	 7.7	S4G	Simbad	NED	LEDA
    1474	 	UGC09356  	218.22303	+11.59499	 59.8	 -79.7	 0.462	13.714	 0.002	14.262	 0.002	 2.942	 2.909	-18.884	-18.336	 9.769	       	      	 4.6	 1.7	 2226.1	 5.1	S4G	Simbad	NED	LEDA
    1475	 	UGC09364  	218.34013	+06.87772	 58.0	  22.2	 0.641	14.744	 0.006	15.247	 0.089	 3.162	 3.072	-17.765	-17.262	 9.288	       	      	 7.8	 0.9	 2154.0	 4.1	S4G	Simbad	NED	LEDA
    1476	 	UGC09380  	218.66340	+04.26256	 46.0	  26.0	 0.453	15.401	 0.005	15.873	 0.011	 2.768	 2.743	-16.598	-16.126	 8.798	 25.100	 4.808	 9.9	 0.4	 1684.8	 5.6	S4G	Simbad	NED	LEDA
    1477	 	UGC09389  	218.88858	+12.90805	 70.8	  48.2	 0.712	13.995	 0.001	14.426	 0.003	 3.252	 3.207	-18.212	-17.781	 9.413	       	      	 3.2	 0.8	 1823.9	 4.7	S4G	Simbad	NED	LEDA
    1478	 	UGC09392  	218.95180	+03.03911	 33.5	 -38.7	 0.751	16.838	 0.007	17.404	 0.065	 2.475	 2.480	-15.266	-14.699	 8.335	       	      	10.0	 0.5	 1765.3	 6.4	S4G	Simbad	NED	LEDA
    1479	 	UGC09394  	218.91615	+13.16990	 62.0	  42.2	 0.657	14.542	 0.003	15.037	 0.003	 2.860	 2.913	-17.707	-17.212	 9.259	 28.167	 2.511	 5.9	 0.5	 1801.1	 4.4	S4G	Simbad	NED	LEDA
    1480	 	UGC09448  	219.74639	+51.12049	 48.5	  86.0	 0.706	13.895	 0.001	14.323	 0.001	 2.948	 2.939	-19.450	-19.022	 9.907	 46.667	 0.451	 3.3	 0.7	 2185.0	 6.0	S4G	Simbad	NED	LEDA
    1481	 	UGC09469  	220.43481	-01.80673	 40.8	   5.7	 0.130	15.078	 0.029	15.568	 0.002	 2.905	 2.890	-17.054	-16.564	 8.995	       	      	 9.7	 0.7	 1834.9	 3.9	S4G	Simbad	NED	LEDA
    1482	 	UGC09470  	220.45261	+00.68702	 44.7	  54.8	 0.451	14.889	 0.003	15.404	 0.004	 2.635	 2.687	-17.314	-16.800	 9.117	       	      	 7.9	 0.9	 1890.4	 6.3	S4G	Simbad	NED	LEDA
    1483	 	UGC09482  	220.69552	+00.66169	 38.4	  65.3	 0.695	15.448	 0.001	15.920	 0.007	 2.915	 2.882	-17.860	-17.388	 9.303	 45.867	 0.252	 6.6	 0.7	 1834.4	 7.9	S4G	Simbad	NED	LEDA
    1484	 	UGC09569  	222.99950	+43.72057	 45.0	 -38.1	 0.249	14.346	 0.001	14.736	 0.001	 3.132	 3.089	-18.534	-18.143	 9.512	       	      	 6.6	 0.8	 2493.0	 8.5	S4G	Simbad	NED	LEDA
    1485	 	UGC09601  	224.00667	-01.38815	 54.8	  -7.2	 0.218	13.926	 0.002	14.305	 0.015	 3.180	 3.073	-18.242	-17.864	 9.387	       	      	 5.9	 0.6	 1846.3	 5.1	S4G	Simbad	NED	LEDA
    1486	 	UGC09661  	225.51476	+01.84129	 47.8	  56.6	 0.109	13.775	 0.001	14.232	 0.001	 2.811	 2.855	-17.580	-17.123	 9.180	       	      	 8.0	 0.5	 1242.3	 4.4	S4G	Simbad	NED	LEDA
    1487	 	UGC09663  	225.30708	+52.59556	 41.8	   0.3	 0.180	14.917	 0.002	15.443	 0.018	 3.007	 2.898	-17.993	-17.467	 9.396	 38.200	      	 9.8	 0.5	 2419.8	 5.5	S4G	Simbad	NED	LEDA
    1488	 	UGC09665  	225.38560	+48.31982	 58.6	 -41.5	 0.669	12.664	 0.001	13.049	 0.002	 2.835	 2.867	-20.324	-19.939	10.224	 39.575	 1.118	 4.0	 0.3	 2544.0	 9.4	S4G	Simbad	NED	LEDA
    1489	 	UGC09682  	226.12584	-00.85132	 60.3	 -14.5	 0.687	14.752	 0.004	15.082	 0.016	 2.680	 2.693	-17.362	-17.032	 8.999	       	      	 8.6	 1.3	 1809.7	 5.7	S4G	Simbad	NED	LEDA
    1490	 	UGC09703  	226.35966	+46.56524	 40.7	 -11.2	 0.599	13.530	 0.001	13.913	 0.001	 3.133	 3.178	-19.800	-19.417	10.013	 46.350	10.819	 3.0	 2.0	 2490.0	 9.4	S4G	Simbad	NED	LEDA
