Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 24244,HECATE v1.1 via VizieR,129.428973 20.503810,EST 7.1 billion years — object-specific late-type stellar-population model; not a direct measurement,14.29600000 / 160.48 million ly,Scd–Sd spiral; de Vaucouleurs T=6.5,0.556 × 0.272 arcmin,"4,719.4 km/s",DERIVED 26.0 × 12.7 thousand ly,15.223 — catalog band requires verification,65.001 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 31200,HECATE v1.1 via VizieR,158.350809 50.696307,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.80300000 / 605.20 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.369 × 0.258 arcmin,"13,391.3 km/s",DERIVED 65.0 × 45.4 thousand ly,15.652 — catalog band requires verification,63.824 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2067191,HECATE v1.1 via VizieR,169.887306 35.609864,EST 7.7 billion years — object-specific late-type stellar-population model; not a direct measurement,16.48500000 / 310.97 million ly,Scd–Sd spiral; de Vaucouleurs T=6.1,0.251 × 0.062 arcmin,"6,417.9 km/s",DERIVED 22.7 × 5.6 thousand ly,17.372 — catalog band requires verification,61.632 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3399977,HECATE v1.1 via VizieR,159.849204 50.387926,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,16.76500000 / 582.42 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.253 × 0.063 arcmin,"12,737.2 km/s",DERIVED 42.9 × 10.7 thousand ly,18.157 — catalog band requires verification,61.012 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6748446,HECATE v1.1 via VizieR,149.934390 32.513138,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,18.39300000 / 209.85 million ly,Not available,0.172 × 0.052 arcmin,"4,496.9 km/s",DERIVED 10.5 × 3.2 thousand ly,Not available,56.688 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1492701,HECATE v1.1 via VizieR,120.183660 15.759937,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,16.15500000 / 605.23 million ly,Scd–Sd spiral; de Vaucouleurs T=6.2,0.144 × 0.109 arcmin,"13,624.0 km/s",DERIVED 25.4 × 19.2 thousand ly,17.153 — catalog band requires verification,61.423 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5061183,HECATE v1.1 via VizieR,67.661541 23.440111,EST 10.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.12500000 / 204.55 million ly,Elliptical; de Vaucouleurs T=-5.0,0.350 × 0.252 arcmin,"4,493.0 km/s",DERIVED 20.8 × 15.0 thousand ly,Not available,59.400 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3469493,HECATE v1.1 via VizieR,165.025266 54.272258,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,16.96000000 / 78.39 million ly,Irregular; de Vaucouleurs T=10.0,0.286 × 0.139 arcmin,"1,437.0 km/s",DERIVED 6.5 × 3.2 thousand ly,17.712 — catalog band requires verification,61.432 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 33982,HECATE v1.1 via VizieR,167.776497 43.633019,EST 9.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,12.47200000 / 362.60 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.687 × 0.207 arcmin,"7,507.0 km/s",DERIVED 72.5 × 21.8 thousand ly,14.356 — catalog band requires verification,66.392 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5217,HECATE v1.1 via VizieR,21.187708 32.165694,EST 10.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,12.92600000 / 500.53 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.352 × 0.209 arcmin,"10,508.4 km/s",DERIVED 51.3 × 30.4 thousand ly,14.280 — catalog band requires verification,65.128 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3091244,HECATE v1.1 via VizieR,124.360068 10.202810,EST 11.6 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.20600000 / 778.80 million ly,Elliptical; de Vaucouleurs T=-5.0,0.175 × 0.137 arcmin,"13,742.8 km/s",DERIVED 39.6 × 31.0 thousand ly,16.936 — catalog band requires verification,61.764 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2231059,HECATE v1.1 via VizieR,154.379668 43.866284,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,15.92100000 / 603.38 million ly,Scd–Sd spiral; de Vaucouleurs T=5.3,0.255 × 0.173 arcmin,"13,339.1 km/s",DERIVED 44.8 × 30.4 thousand ly,17.024 — catalog band requires verification,61.996 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3390550,HECATE v1.1 via VizieR,131.505669 39.845611,EST 11.5 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.83800000 / 399.66 million ly,Elliptical; de Vaucouleurs T=-5.0,0.262 × 0.122 arcmin,"8,594.3 km/s",DERIVED 30.5 × 14.2 thousand ly,16.654 — catalog band requires verification,62.394 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1411031,HECATE v1.1 via VizieR,134.405869 12.521344,EST 8.1 billion years — object-specific late-type stellar-population model; not a direct measurement,17.37000000 / 258.17 million ly,Irregular; de Vaucouleurs T=10.0,0.146 × 0.078 arcmin,"5,722.2 km/s",DERIVED 11.0 × 5.9 thousand ly,18.395 — catalog band requires verification,60.584 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 26644,HECATE v1.1 via VizieR,141.064257 5.941374,EST 10.1 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.85100000 / 463.94 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.356 × 0.233 arcmin,"10,202.1 km/s",DERIVED 48.0 × 31.4 thousand ly,14.940 — catalog band requires verification,64.484 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 7521,HECATE v1.1 via VizieR,29.815542 24.416611,EST 9.9 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.98600000 / 75.41 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.390 × 0.211 arcmin,"3,885.5 km/s",DERIVED 8.6 × 4.6 thousand ly,14.600 — catalog band requires verification,64.960 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1885009,HECATE v1.1 via VizieR,163.183211 29.968332,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,16.74300000 / 559.04 million ly,Irregular; de Vaucouleurs T=10.0,0.195 × 0.093 arcmin,"12,347.7 km/s",DERIVED 31.7 × 15.1 thousand ly,17.686 — catalog band requires verification,61.094 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 89926,HECATE v1.1 via VizieR,41.543042 15.952333,EST 10.2 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,Not available / 349.73 million ly,Lenticular / S0; de Vaucouleurs T=-1.0,0.436 × 0.253 arcmin,"7,667.3 km/s",DERIVED 44.4 × 25.7 thousand ly,16.470 — catalog band requires verification,61.274 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3997220,HECATE v1.1 via VizieR,134.573615 38.645757,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,17.36300000 / 357.83 million ly,Irregular; de Vaucouleurs T=10.0,0.201 × 0.085 arcmin,"7,745.4 km/s",DERIVED 20.9 × 8.8 thousand ly,18.216 — catalog band requires verification,60.804 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2529859,HECATE v1.1 via VizieR,179.589228 56.226185,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.37300000 / 250.01 million ly,Elliptical; de Vaucouleurs T=-5.0,0.230 × 0.095 arcmin,"5,303.4 km/s",DERIVED 16.7 × 6.9 thousand ly,17.361 — catalog band requires verification,61.559 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1580763,HECATE v1.1 via VizieR,140.334048 19.107986,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,16.01000000 / 523.41 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.8,0.167 × 0.118 arcmin,"11,593.1 km/s",DERIVED 25.4 × 18.0 thousand ly,17.481 — catalog band requires verification,61.187 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1493239,HECATE v1.1 via VizieR,53.840833 15.782583,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,13.89300000 / 414.95 million ly,Not available,0.251 × 0.177 arcmin,"9,140.0 km/s",DERIVED 30.3 × 21.4 thousand ly,16.580 — catalog band requires verification,60.424 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5075097,HECATE v1.1 via VizieR,153.127070 18.210435,EST 9.4 billion years — object-specific spiral stellar-population model; not a direct measurement,16.41800000 / 454.61 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.122 × 0.040 arcmin,"9,891.5 km/s",DERIVED 16.1 × 5.3 thousand ly,17.678 — catalog band requires verification,60.810 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2217313,HECATE v1.1 via VizieR,141.034658 43.291542,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,17.59500000 / 347.81 million ly,Not available,0.136 × 0.073 arcmin,"7,429.3 km/s",DERIVED 13.8 × 7.4 thousand ly,18.313 — catalog band requires verification,58.544 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3755924,HECATE v1.1 via VizieR,156.909088 19.454106,EST 11.2 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.65800000 / 362.42 million ly,Elliptical; de Vaucouleurs T=-5.0,0.130 × 0.091 arcmin,"7,890.5 km/s",DERIVED 13.7 × 9.6 thousand ly,17.383 — catalog band requires verification,61.137 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1976318,HECATE v1.1 via VizieR,150.378725 32.022183,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.43900000 / 593.90 million ly,Elliptical; de Vaucouleurs T=-5.0,0.213 × 0.135 arcmin,"13,090.6 km/s",DERIVED 36.8 × 23.3 thousand ly,16.361 — catalog band requires verification,62.491 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 9173,HECATE v1.1 via VizieR,36.269166 22.217250,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,12.67100000 / 676.49 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.2,0.458 × 0.301 arcmin,"10,100.5 km/s",DERIVED 90.1 × 59.2 thousand ly,15.080 — catalog band requires verification,64.752 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 8894,HECATE v1.1 via VizieR,35.021833 37.911972,EST 9.0 billion years — object-specific spiral stellar-population model; not a direct measurement,Not available / 295.28 million ly,Scd–Sd spiral; de Vaucouleurs T=6.0,0.491 × 0.170 arcmin,"6,219.0 km/s",DERIVED 42.2 × 14.6 thousand ly,15.650 — catalog band requires verification,62.314 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1772617,HECATE v1.1 via VizieR,34.138500 26.343700,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.74600000 / 514.59 million ly,Not available,0.109 × 0.095 arcmin,"11,366.0 km/s",DERIVED 16.3 × 14.2 thousand ly,19.050 — catalog band requires verification,58.436 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 35725,HECATE v1.1 via VizieR,173.531678 36.683093,EST 7.2 billion years — object-specific late-type stellar-population model; not a direct measurement,14.92900000 / 331.25 million ly,Scd–Sd spiral; de Vaucouleurs T=6.4,0.670 × 0.102 arcmin,"6,441.3 km/s",DERIVED 64.6 × 9.8 thousand ly,15.986 — catalog band requires verification,64.694 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1345318,HECATE v1.1 via VizieR,132.938487 8.363758,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,16.52900000 / 398.55 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.6,0.166 × 0.107 arcmin,"8,722.1 km/s",DERIVED 19.2 × 12.4 thousand ly,17.718 — catalog band requires verification,60.946 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 10956,HECATE v1.1 via VizieR,43.609248 42.650135,EST 7.6 billion years — object-specific late-type stellar-population model; not a direct measurement,14.37700000 / 121.78 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.5,0.706 × 0.144 arcmin,"2,164.7 km/s",DERIVED 25.0 × 5.1 thousand ly,15.628 — catalog band requires verification,65.196 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 213450,HECATE v1.1 via VizieR,121.807389 51.154813,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,15.01700000 / 247.69 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.5,0.244 × 0.137 arcmin,"5,357.4 km/s",DERIVED 17.6 × 9.9 thousand ly,16.619 — catalog band requires verification,62.357 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2336385,HECATE v1.1 via VizieR,151.448555 49.206552,EST 7.9 billion years — object-specific late-type stellar-population model; not a direct measurement,16.64100000 / 504.32 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.9,0.145 × 0.129 arcmin,"10,971.9 km/s",DERIVED 21.3 × 18.9 thousand ly,17.580 — catalog band requires verification,61.000 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1855871,HECATE v1.1 via VizieR,166.759797 29.106929,EST 8.5 billion years — object-specific spiral stellar-population model; not a direct measurement,15.71300000 / 408.83 million ly,Scd–Sd spiral; de Vaucouleurs T=6.0,0.245 × 0.218 arcmin,"8,808.1 km/s",DERIVED 29.1 × 25.9 thousand ly,16.726 — catalog band requires verification,62.254 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1449291,HECATE v1.1 via VizieR,30.300360 14.103364,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,15.38200000 / 599.71 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.309 × 0.091 arcmin,"13,390.7 km/s",DERIVED 53.9 × 15.9 thousand ly,16.860 — catalog band requires verification,62.376 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3448790,HECATE v1.1 via VizieR,127.308569 39.257193,EST 11.7 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.53700000 / 413.82 million ly,Elliptical; de Vaucouleurs T=-5.0,0.187 × 0.108 arcmin,"8,962.4 km/s",DERIVED 22.5 × 13.0 thousand ly,17.747 — catalog band requires verification,61.001 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3995809,HECATE v1.1 via VizieR,117.439607 23.413335,EST 7.5 billion years — object-specific late-type stellar-population model; not a direct measurement,17.38600000 / 249.15 million ly,Irregular; de Vaucouleurs T=10.0,0.118 × 0.089 arcmin,"5,531.1 km/s",DERIVED 8.6 × 6.5 thousand ly,18.297 — catalog band requires verification,60.472 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3379006,HECATE v1.1 via VizieR,121.588490 38.902907,EST 11.5 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.49400000 / 567.79 million ly,Elliptical; de Vaucouleurs T=-5.0,0.146 × 0.119 arcmin,"12,558.8 km/s",DERIVED 24.1 × 19.7 thousand ly,17.251 — catalog band requires verification,61.333 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1521111,HECATE v1.1 via VizieR,140.492828 16.956621,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,14.82600000 / 522.21 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.8,0.223 × 0.177 arcmin,"11,573.3 km/s",DERIVED 33.9 × 26.9 thousand ly,16.162 — catalog band requires verification,62.730 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2032502,HECATE v1.1 via VizieR,160.984449 33.459679,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,20.66900000 / 399.47 million ly,Not available,0.262 × 0.077 arcmin,"8,562.1 km/s",DERIVED 30.4 × 8.9 thousand ly,18.240 — catalog band requires verification,59.048 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2091194,HECATE v1.1 via VizieR,167.080209 37.011326,EST 11.7 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.83000000 / 536.32 million ly,Elliptical; de Vaucouleurs T=-5.0,0.223 × 0.132 arcmin,"12,509.2 km/s",DERIVED 34.8 × 20.6 thousand ly,16.807 — catalog band requires verification,62.085 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1814861,HECATE v1.1 via VizieR,126.822012 27.673152,EST 8.8 billion years — object-specific spiral stellar-population model; not a direct measurement,15.92200000 / 606.92 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.8,0.221 × 0.077 arcmin,"13,645.6 km/s",DERIVED 39.0 × 13.6 thousand ly,17.288 — catalog band requires verification,61.596 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 11453,HECATE v1.1 via VizieR,45.533656 29.106005,EST 7.1 billion years — object-specific late-type stellar-population model; not a direct measurement,13.43900000 / 109.54 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.8,1.358 × 0.352 arcmin,"3,115.0 km/s",DERIVED 43.3 × 11.2 thousand ly,14.671 — catalog band requires verification,68.761 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 24821,HECATE v1.1 via VizieR,132.505493 19.009821,EST 10.3 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,13.37800000 / 202.97 million ly,Lenticular / S0; de Vaucouleurs T=-1.2,0.350 × 0.206 arcmin,"4,217.1 km/s",DERIVED 20.7 × 12.2 thousand ly,15.178 — catalog band requires verification,64.222 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2169136,HECATE v1.1 via VizieR,123.245283 40.665634,EST 8.2 billion years — object-specific late-type stellar-population model; not a direct measurement,15.60100000 / 525.97 million ly,Sm / Magellanic spiral; de Vaucouleurs T=7.7,0.243 × 0.148 arcmin,"11,580.5 km/s",DERIVED 37.2 × 22.6 thousand ly,16.698 — catalog band requires verification,62.274 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 4010041,HECATE v1.1 via VizieR,139.064836 34.722443,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,17.09700000 / 326.66 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.302 × 0.049 arcmin,"6,805.2 km/s",DERIVED 28.7 × 4.7 thousand ly,18.461 — catalog band requires verification,61.208 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1470148,HECATE v1.1 via VizieR,29.052201 14.906607,EST 9.6 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.17400000 / 201.11 million ly,Sa–Sb spiral; de Vaucouleurs T=2.3,0.306 × 0.165 arcmin,"8,071.4 km/s",DERIVED 17.9 × 9.7 thousand ly,15.886 — catalog band requires verification,63.338 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1348215,HECATE v1.1 via VizieR,52.523541 8.505556,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 501.11 million ly,Not available,0.330 × 0.093 arcmin,"11,166.0 km/s",DERIVED 48.1 × 13.6 thousand ly,17.140 — catalog band requires verification,58.180 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1780640,HECATE v1.1 via VizieR,141.643908 26.557861,EST 9.7 billion years — object-specific spiral stellar-population model; not a direct measurement,16.51600000 / 582.15 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.115 × 0.079 arcmin,"12,868.6 km/s",DERIVED 19.5 × 13.4 thousand ly,17.934 — catalog band requires verification,60.526 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1781379,HECATE v1.1 via VizieR,119.925360 26.579926,EST 11.6 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.02500000 / 344.62 million ly,Elliptical; de Vaucouleurs T=-5.0,0.116 × 0.116 arcmin,"7,428.7 km/s",DERIVED 11.6 × 11.6 thousand ly,17.214 — catalog band requires verification,61.250 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1487111,HECATE v1.1 via VizieR,41.644235 15.532360,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 348.20 million ly,Not available,0.239 × 0.085 arcmin,"7,619.0 km/s",DERIVED 24.2 × 8.6 thousand ly,17.750 — catalog band requires verification,57.206 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3130062,HECATE v1.1 via VizieR,116.729176 41.444932,EST 11.2 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.96800000 / 399.29 million ly,Elliptical; de Vaucouleurs T=-5.0,0.183 × 0.105 arcmin,"8,597.6 km/s",DERIVED 21.3 × 12.2 thousand ly,17.748 — catalog band requires verification,60.984 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 82355,HECATE v1.1 via VizieR,139.137825 35.161279,EST 7.7 billion years — object-specific late-type stellar-population model; not a direct measurement,15.53000000 / 236.89 million ly,Sm / Magellanic spiral; de Vaucouleurs T=9.0,0.307 × 0.150 arcmin,"5,181.6 km/s",DERIVED 21.2 × 10.3 thousand ly,16.248 — catalog band requires verification,62.980 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1401174,HECATE v1.1 via VizieR,138.603111 11.940381,EST 10.2 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.37700000 / 426.98 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.195 × 0.155 arcmin,"9,373.1 km/s",DERIVED 24.2 × 19.3 thousand ly,17.279 — catalog band requires verification,61.501 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 25556,HECATE v1.1 via VizieR,136.642853 6.303805,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,14.73900000 / 84.90 million ly,Scd–Sd spiral; de Vaucouleurs T=6.1,0.489 × 0.170 arcmin,"1,450.0 km/s",DERIVED 12.1 × 4.2 thousand ly,15.018 — catalog band requires verification,64.938 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1392272,HECATE v1.1 via VizieR,144.069070 11.349159,EST 10.8 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,15.74700000 / 390.56 million ly,Lenticular / S0; de Vaucouleurs T=-2.4,0.200 × 0.093 arcmin,"8,499.1 km/s",DERIVED 22.7 × 10.6 thousand ly,17.268 — catalog band requires verification,61.532 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1454711,HECATE v1.1 via VizieR,145.666887 14.305080,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,15.09400000 / 610.36 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.4,0.144 × 0.112 arcmin,"13,960.4 km/s",DERIVED 25.6 × 19.9 thousand ly,16.572 — catalog band requires verification,62.004 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2458336,HECATE v1.1 via VizieR,169.631137 54.052253,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.71900000 / 475.35 million ly,Sa–Sb spiral; de Vaucouleurs T=2.1,0.161 × 0.080 arcmin,"10,230.0 km/s",DERIVED 22.3 × 11.1 thousand ly,17.679 — catalog band requires verification,60.965 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2175324,HECATE v1.1 via VizieR,158.708529 41.076872,EST 11.2 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.98200000 / 335.18 million ly,Elliptical; de Vaucouleurs T=-5.0,0.197 × 0.064 arcmin,"6,954.9 km/s",DERIVED 19.2 × 6.2 thousand ly,18.316 — catalog band requires verification,60.788 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3461492,HECATE v1.1 via VizieR,148.281396 37.567637,EST 9.8 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.64800000 / 380.68 million ly,Sa–Sb spiral; de Vaucouleurs T=2.1,0.349 × 0.113 arcmin,"8,168.4 km/s",DERIVED 38.6 × 12.5 thousand ly,16.515 — catalog band requires verification,62.881 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2122161,HECATE v1.1 via VizieR,38.692502 38.258476,EST 9.1 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 501.26 million ly,Not available,0.354 × 0.208 arcmin,"10,995.2 km/s",DERIVED 51.6 × 30.3 thousand ly,16.310 — catalog band requires verification,59.106 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1848655,HECATE v1.1 via VizieR,167.318741 28.874430,EST 10.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.68900000 / 464.32 million ly,Elliptical; de Vaucouleurs T=-5.0,0.179 × 0.112 arcmin,"10,039.9 km/s",DERIVED 24.2 × 15.1 thousand ly,17.377 — catalog band requires verification,61.339 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
