Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC 6035,HECATE v1.1,24.482733 27.537198,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04409050 / 596.70 million ly,G [SIMBAD classification],0.723 × 0.301 arcmin [catalog value; band/isophote may vary],"13,218.0 km/s",EST [125.5 × 52.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 7220,RC3,28.994583 37.130000,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01739870 / 243.03 million ly,GiG [SIMBAD classification],1.080 arcmin [catalog value],"5,170.6 km/s",EST [76.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1394300,HyperLEDA PGC,43.871667 11.484167,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.510 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 4691373,HECATE v1.1,41.407156 36.958858,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04074152 / 550.47 million ly,Not available,Not available,"12,214.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 143015,HECATE v1.1,73.372584 27.304778,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03169526 / 433.78 million ly,G [SIMBAD classification],0.293 × 0.258 arcmin [catalog value; band/isophote may vary],"9,502.0 km/s",EST [37.0 × 32.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
A   0843+36,RC3,131.644167 36.439722,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01072409 / 149.80 million ly,Not available,0.620 arcmin [catalog value],"3,215.0 km/s",EST [27.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
A   1129+62,RC3,173.114583 62.507222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01220845 / 170.53 million ly,Not available,1.120 arcmin [catalog value],"3,660.0 km/s",EST [55.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1537419,HyperLEDA PGC,26.352500 17.628333,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.360 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3098566,HECATE v1.1,36.952866 22.829025,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03993996 / 537.69 million ly,G [SIMBAD classification],0.230 × 0.179 arcmin [catalog value; band/isophote may vary],"11,973.7 km/s",EST [36.0 × 28.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
IC1894                CGCG464-6             NPM1G+19.0105,HyperLEDA PGC,47.605833 19.606667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.890 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC 4184,RC3,17.621250 43.287778,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01641802 / 229.33 million ly,GiP [SIMBAD classification],1.180 arcmin [catalog value],"4,922.0 km/s",EST [78.7 thousand ly; derived from adopted distance and angular size],14.400 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 16252,HECATE v1.1,73.310791 44.040444,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02316269 / 332.10 million ly,GiG [SIMBAD classification],0.563 × 0.315 arcmin [catalog value; band/isophote may vary],"6,944.0 km/s",EST [54.4 × 30.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6741420,HECATE v1.1,42.209163 19.962779,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02213531 / 313.05 million ly,Not available,Not available,"6,636.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC27893,RC3,146.100000 55.766667,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02544000 / 355.36 million ly,EmG [SIMBAD classification],1.170 arcmin [catalog value],"7,529.7 km/s",EST [120.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 10272,HECATE v1.1,40.701251 28.574097,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00514389 / 97.17 million ly,Sy2 [SIMBAD classification],0.947 × 0.776 arcmin [catalog value; band/isophote may vary],"1,542.1 km/s",EST [26.8 × 21.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6570,HECATE v1.1,26.853877 27.885753,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01234154 / 153.97 million ly,GiG [SIMBAD classification],2.736 × 1.024 arcmin [catalog value; band/isophote may vary],"3,699.9 km/s",EST [122.5 × 45.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2802,RC3,139.171250 18.962778,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02919687 / 407.83 million ly,G [SIMBAD classification],1.040 arcmin [catalog value],"8,753.0 km/s",EST [123.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1167945,HECATE v1.1,45.560463 0.513569,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.04250107 / 566.50 million ly,G [SIMBAD classification],0.300 × 0.180 arcmin [catalog value; band/isophote may vary],"12,741.5 km/s",EST [49.4 × 29.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1648013,HECATE v1.1,38.060083 21.340639,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03293945 / 451.69 million ly,G [SIMBAD classification],0.227 × 0.191 arcmin [catalog value; band/isophote may vary],"9,875.0 km/s",EST [29.8 × 25.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1389737,HyperLEDA PGC,46.562083 11.166944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.460 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5080924,HECATE v1.1,45.229257 0.772729,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04344039 / 580.92 million ly,Not available,Not available,"13,023.1 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1710379,HECATE v1.1,45.072208 24.562861,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03373667 / 462.31 million ly,G [SIMBAD classification],0.473 × 0.170 arcmin [catalog value; band/isophote may vary],"10,114.0 km/s",EST [63.6 × 22.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1574261,HyperLEDA PGC,54.103333 18.910833,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.360 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
MCG0-08-017           CGCG389-18            MRK599                [RC2]A0245+02         NPM1G+02.0089,HyperLEDA PGC,41.947500 3.165000,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.740 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1416108,HyperLEDA PGC,40.307500 12.784167,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,0.440 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,38% [completeness + multi-source agreement; not a scientific certainty score]
NGC  3682,RC3,171.927917 66.590278,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00514689 / 71.89 million ly,GiG [SIMBAD classification],1.220 arcmin [catalog value],"1,543.0 km/s",EST [25.5 thousand ly; derived from adopted distance and angular size],13.300 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12296,HECATE v1.1,49.595709 41.268806,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01325717 / 186.89 million ly,GiC [SIMBAD classification],0.323 × 0.207 arcmin [catalog value; band/isophote may vary],"3,974.4 km/s",EST [17.6 × 11.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1444929,HyperLEDA PGC,56.296250 13.947500,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.690 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1427334,HyperLEDA PGC,57.186667 13.289444,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 8654,RC3,33.975417 42.824167,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01912657 / 267.17 million ly,GiP [SIMBAD classification],1.090 arcmin [catalog value],"5,734.0 km/s",EST [84.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
NGC   876,RC3,34.472500 14.521111,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01279500 / 178.73 million ly,GiG [SIMBAD classification],1.320 arcmin [catalog value],"3,811.3 km/s",EST [68.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1491232,HyperLEDA PGC,51.592083 15.701111,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.420 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12928,HECATE v1.1,52.131333 36.776306,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01586764 / 219.01 million ly,GiG [SIMBAD classification],0.677 × 0.487 arcmin [catalog value; band/isophote may vary],"4,757.0 km/s",EST [43.1 × 31.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+09.0072,HyperLEDA PGC,37.944583 9.776389,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02742230 / 383.05 million ly,G [SIMBAD classification],0.720 arcmin [catalog value],"8,108.3 km/s",EST [80.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
(VZw358)              NPM1G+23.0099,HyperLEDA PGC,54.945417 24.131944,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,Not available,Not available,Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; values marked EST require verification,28% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1391562,HyperLEDA PGC,44.116250 11.295833,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.450 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
A   1045+66,RC3,162.160417 66.362222,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02184178 / 305.10 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0 [catalog classification],1.300 arcmin [catalog value],"6,548.0 km/s",EST [115.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,68% [completeness + multi-source agreement; not a scientific certainty score]
PGC 4013725,HECATE v1.1,29.081459 14.924682,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02476847 / 343.47 million ly,G [SIMBAD classification],0.226 × 0.134 arcmin [catalog value; band/isophote may vary],"7,425.4 km/s",EST [22.6 × 13.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9064,RC3,35.787083 24.745278,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03943367 / 550.83 million ly,G [SIMBAD classification],0.533 × 0.356 arcmin [catalog value; band/isophote may vary],"11,589.0 km/s",EST [85.5 × 57.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 90695,HECATE v1.1,57.312081 16.084660,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02128372 / 287.88 million ly,LSB [SIMBAD classification],0.727 × 0.116 arcmin [catalog value; band/isophote may vary],"6,380.7 km/s",EST [60.9 × 9.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 13424,HECATE v1.1,54.669000 9.969972,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.03488413 / 472.20 million ly,LIN [SIMBAD classification],0.857 × 0.634 arcmin [catalog value; band/isophote may vary],"10,458.0 km/s",EST [117.7 × 87.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3091093,HECATE v1.1,44.541209 11.553222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02556102 / 348.76 million ly,G [SIMBAD classification],0.453 × 0.245 arcmin [catalog value; band/isophote may vary],"7,663.0 km/s",EST [46.0 × 24.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9099,HECATE v1.1,35.966417 25.542000,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01705246 / 414.40 million ly,GiG [SIMBAD classification],0.712 × 0.616 arcmin [catalog value; band/isophote may vary],"5,112.2 km/s",EST [85.8 × 74.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2684,RC3,133.722917 49.160556,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.00959997 / 134.10 million ly,GiG [SIMBAD classification],0.970 arcmin [catalog value],"2,878.0 km/s",EST [37.8 thousand ly; derived from adopted distance and angular size],13.600 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3095597,HyperLEDA PGC,40.560833 5.510000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.06965624 / 972.99 million ly,Sy1 [SIMBAD classification],0.243 × 0.204 arcmin [catalog value; band/isophote may vary],"20,156.8 km/s",EST [68.8 × 57.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1492106,HyperLEDA PGC,31.559583 15.736111,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.440 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9341,RC3,36.857083 41.059722,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01791906 / 250.30 million ly,GiG [SIMBAD classification],1.080 arcmin [catalog value],"5,372.0 km/s",EST [78.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9260,RC3,36.525000 26.050000,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.03193500 / 446.08 million ly,GiG [SIMBAD classification],1.040 arcmin [catalog value],"9,421.1 km/s",EST [135.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2711,RC3,134.347083 17.287222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02054000 / 286.91 million ly,G [SIMBAD classification],0.950 arcmin [catalog value],"6,094.5 km/s",EST [79.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2146A,RC3,95.984583 78.530833,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.00511687 / 71.47 million ly,GiP [SIMBAD classification],1.480 arcmin [catalog value],"1,534.0 km/s",EST [30.8 thousand ly; derived from adopted distance and angular size],13.500 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,86% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3644,RC3,15.254583 29.948333,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01640581 / 229.16 million ly,GiC [SIMBAD classification],0.960 arcmin [catalog value],"4,878.0 km/s",EST [64.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1453434,HyperLEDA PGC,40.595833 14.253889,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.610 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
UGC2741,HyperLEDA PGC,51.706667 7.125000,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03740793 / 522.53 million ly,G [SIMBAD classification],0.870 arcmin [catalog value],"11,005.0 km/s",EST [132.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 7416,RC3,29.523333 37.578056,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01563081 / 218.34 million ly,GiG [SIMBAD classification],0.420 × 0.361 arcmin [catalog value; band/isophote may vary],"4,686.0 km/s",EST [26.7 × 22.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 94510,HyperLEDA PGC,44.436667 13.031667,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.08009200 / 1118.76 million ly,GiC [SIMBAD classification],Not available,"23,052.3 km/s",Not available,Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,54% [completeness + multi-source agreement; not a scientific certainty score]
PGC52519,RC3,220.575000 8.983333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03133501 / 437.70 million ly,GiP [SIMBAD classification],1.040 arcmin [catalog value],"9,394.0 km/s",EST [132.4 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3097243,HyperLEDA PGC,52.562500 8.584167,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.720 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1748153,HyperLEDA PGC,52.903750 25.745278,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.520 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1389042,HyperLEDA PGC,56.625000 11.118056,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.420 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1436117,HyperLEDA PGC,60.480833 13.628889,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.540 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 3087983,HECATE v1.1,49.372577 40.396514,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01334356 / 187.72 million ly,GiC [SIMBAD classification],0.337 × 0.256 arcmin [catalog value; band/isophote may vary],"4,000.3 km/s",EST [18.4 × 14.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5473,RC3,22.003333 32.032778,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02157069 / 301.31 million ly,AG? [SIMBAD classification],1.070 arcmin [catalog value],"6,397.0 km/s",EST [93.8 thousand ly; derived from adopted distance and angular size],14.450 [catalog photometry; band must be shown in viewer],Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6481,HECATE v1.1,26.514167 23.532306,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.04256611 / 575.21 million ly,G [SIMBAD classification],0.764 × 0.565 arcmin [catalog value; band/isophote may vary],"12,761.0 km/s",EST [127.8 × 94.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1317023,HyperLEDA PGC,39.542083 7.239444,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.07089000 / 990.22 million ly,G [SIMBAD classification],0.570 arcmin [catalog value],"20,500.8 km/s",EST [164.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 12757,HECATE v1.1,51.234792 38.943083,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01703178 / 330.69 million ly,AG? [SIMBAD classification],0.250 × 0.095 arcmin [catalog value; band/isophote may vary],"5,106.0 km/s",EST [24.0 × 9.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 8260,HECATE v1.1,32.474875 10.961083,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01526856 / 214.32 million ly,AG? [SIMBAD classification],1.119 × 0.429 arcmin [catalog value; band/isophote may vary],"4,577.4 km/s",EST [69.8 × 26.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC23477,RC3,125.575000 21.083333,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02245220 / 313.62 million ly,LIN [SIMBAD classification],0.694 × 0.636 arcmin [catalog value; band/isophote may vary],"6,731.0 km/s",EST [63.3 × 58.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
